 ,X,Y
1,0.000,142.322
2,1.000,149.863
3,2.000,151.983
4,3.000,152.313
5,4.000,159.923
6,5.000,167.748
7,6.000,173.549
8,7.000,183.125
9,8.000,180.562
10,9.000,181.744
11,10.000,180.795
12,11.000,175.505
13,12.000,169.349
14,13.000,166.402
15,14.000,165.180
16,15.000,154.927
17,16.000,158.450
18,17.000,163.220
19,18.000,164.858
20,19.000,169.484
21,20.000,169.265
22,21.000,167.778
23,22.000,164.049
24,23.000,169.532
25,24.000,177.362
26,25.000,175.055
27,26.000,188.705
28,27.000,190.280
29,28.000,184.483
30,29.000,178.598
31,30.000,180.404
32,31.000,168.809
33,32.000,153.584
34,33.000,152.202
35,34.000,152.065
36,35.000,159.521
37,36.000,161.000
38,37.000,169.879
39,38.000,178.508
40,39.000,196.178
41,40.000,194.993
42,41.000,194.938
43,42.000,192.063
44,43.000,189.484
45,44.000,182.676
46,45.000,176.239
47,46.000,176.738
48,47.000,171.479
49,48.000,174.595
50,49.000,176.594
51,50.000,173.227
52,51.000,185.538
53,52.000,190.816
54,53.000,203.161
55,54.000,204.910
56,55.000,201.134
57,56.000,196.498
58,57.000,192.719
59,58.000,195.167
60,59.000,191.414
61,60.000,189.759
62,61.000,186.154
63,62.000,188.085
64,63.000,184.290
65,64.000,185.560
66,65.000,177.196
67,66.000,175.002
68,67.000,179.151
69,68.000,196.129
70,69.000,202.520
71,70.000,209.620
72,71.000,218.394
73,72.000,209.371
74,73.000,206.808
75,74.000,198.129
76,75.000,195.064
77,76.000,186.508
78,77.000,186.869
79,78.000,185.918
80,79.000,183.162
81,80.000,190.581
82,81.000,201.608
83,82.000,205.426
84,83.000,211.874
85,84.000,218.985
86,85.000,219.189
87,86.000,225.717
88,87.000,224.287
89,88.000,225.543
90,89.000,217.422
91,90.000,211.632
92,91.000,206.157
93,92.000,199.673
94,93.000,199.301
95,94.000,191.782
96,95.000,185.968
97,96.000,182.407
98,97.000,191.413
99,98.000,194.012
100,99.000,198.986
101,100.000,213.205
102,101.000,215.406
103,102.000,215.850
104,103.000,232.022
105,104.000,233.317
106,105.000,227.073
107,106.000,221.055
108,107.000,212.867
109,108.000,201.915
110,109.000,185.612
111,110.000,184.131
112,111.000,191.767
113,112.000,195.650
114,113.000,212.440
115,114.000,218.454
116,115.000,225.343
117,116.000,224.789
118,117.000,236.325
119,118.000,238.102
120,119.000,240.502
