 ,X,Y
1,0.000,132.162
2,1.000,127.339
3,2.000,129.799
4,3.000,130.023
5,4.000,129.325
6,5.000,135.491
7,6.000,144.690
8,7.000,149.170
9,8.000,153.637
10,9.000,161.520
11,10.000,159.938
12,11.000,163.680
13,12.000,159.266
14,13.000,156.206
15,14.000,155.375
16,15.000,153.105
17,16.000,147.472
18,17.000,144.501
19,18.000,142.967
20,19.000,143.413
21,20.000,143.834
22,21.000,146.652
23,22.000,153.909
24,23.000,156.794
25,24.000,163.564
26,25.000,174.903
27,26.000,173.604
28,27.000,176.288
29,28.000,176.283
30,29.000,179.769
31,30.000,166.962
32,31.000,165.075
33,32.000,151.583
34,33.000,153.941
35,34.000,147.922
36,35.000,142.618
37,36.000,139.494
38,37.000,147.509
39,38.000,151.013
40,39.000,153.905
41,40.000,155.550
42,41.000,157.827
43,42.000,161.485
44,43.000,160.367
45,44.000,157.532
46,45.000,154.790
47,46.000,148.396
48,47.000,140.379
49,48.000,139.314
50,49.000,136.510
51,50.000,134.249
52,51.000,136.608
53,52.000,134.278
54,53.000,139.360
55,54.000,145.223
56,55.000,146.296
57,56.000,155.402
58,57.000,154.190
59,58.000,157.955
60,59.000,159.675
61,60.000,156.550
62,61.000,162.805
63,62.000,152.332
64,63.000,148.864
65,64.000,145.098
66,65.000,145.909
67,66.000,143.310
68,67.000,148.675
69,68.000,149.933
70,69.000,157.623
71,70.000,164.545
72,71.000,166.177
73,72.000,175.174
74,73.000,181.603
75,74.000,184.789
76,75.000,185.424
77,76.000,183.376
78,77.000,187.976
79,78.000,182.424
80,79.000,176.715
81,80.000,167.161
82,81.000,159.284
83,82.000,156.149
84,83.000,157.050
85,84.000,152.931
86,85.000,159.373
87,86.000,158.675
88,87.000,163.620
89,88.000,170.424
90,89.000,175.400
91,90.000,178.695
92,91.000,184.637
93,92.000,189.594
94,93.000,182.264
95,94.000,178.022
96,95.000,180.940
97,96.000,173.995
98,97.000,167.236
99,98.000,159.319
100,99.000,152.243
101,100.000,144.044
102,101.000,141.275
103,102.000,149.820
104,103.000,151.691
105,104.000,155.349
106,105.000,161.606
107,106.000,160.348
108,107.000,170.605
109,108.000,168.513
110,109.000,174.517
111,110.000,174.160
112,111.000,173.587
113,112.000,173.085
114,113.000,168.698
115,114.000,165.699
116,115.000,159.331
117,116.000,152.289
118,117.000,149.100
119,118.000,152.509
120,119.000,149.305
