 ,X,Y
1,0.000,101.367
2,1.000,103.264
3,2.000,106.631
4,3.000,103.233
5,4.000,104.898
6,5.000,105.231
7,6.000,104.511
8,7.000,109.226
9,8.000,112.733
10,9.000,112.092
11,10.000,111.473
12,11.000,113.328
13,12.000,109.319
14,13.000,112.921
15,14.000,108.664
16,15.000,103.014
17,16.000,104.004
18,17.000,101.409
19,18.000,107.287
20,19.000,105.319
21,20.000,107.380
22,21.000,103.210
23,22.000,106.000
24,23.000,105.921
25,24.000,104.237
26,25.000,113.859
27,26.000,106.992
28,27.000,103.408
29,28.000,98.166
30,29.000,98.633
31,30.000,99.180
32,31.000,99.564
33,32.000,95.438
34,33.000,93.215
35,34.000,94.373
36,35.000,93.878
37,36.000,89.658
38,37.000,86.618
39,38.000,94.058
40,39.000,92.194
41,40.000,89.936
42,41.000,96.267
43,42.000,96.193
44,43.000,96.409
45,44.000,102.382
46,45.000,101.644
47,46.000,102.284
48,47.000,105.931
49,48.000,95.463
50,49.000,94.602
51,50.000,101.771
52,51.000,98.646
53,52.000,100.151
54,53.000,102.988
55,54.000,105.665
56,55.000,107.133
57,56.000,111.995
58,57.000,111.439
59,58.000,115.244
60,59.000,118.892
61,60.000,119.591
62,61.000,123.545
63,62.000,121.358
64,63.000,116.231
65,64.000,120.086
66,65.000,121.199
67,66.000,121.195
68,67.000,121.100
69,68.000,125.416
70,69.000,124.704
71,70.000,130.996
72,71.000,130.520
73,72.000,137.599
74,73.000,140.594
75,74.000,140.636
76,75.000,137.374
77,76.000,134.114
78,77.000,131.598
79,78.000,126.119
80,79.000,124.580
81,80.000,125.264
82,81.000,127.333
83,82.000,119.393
84,83.000,120.927
85,84.000,117.348
86,85.000,121.526
87,86.000,121.516
88,87.000,125.838
89,88.000,126.393
90,89.000,127.723
91,90.000,132.072
92,91.000,137.049
93,92.000,141.356
94,93.000,138.858
95,94.000,137.763
96,95.000,135.350
97,96.000,135.888
98,97.000,125.747
99,98.000,130.094
100,99.000,124.690
101,100.000,123.934
102,101.000,126.335
103,102.000,130.394
104,103.000,127.501
105,104.000,128.989
106,105.000,137.214
107,106.000,134.126
108,107.000,143.268
109,108.000,142.639
110,109.000,142.477
111,110.000,138.416
112,111.000,141.469
113,112.000,141.698
114,113.000,139.763
115,114.000,137.051
116,115.000,134.072
117,116.000,127.035
118,117.000,122.815
119,118.000,122.519
120,119.000,121.905
